Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Tijuca;3;0;0;98;1700.0;390.0;93.0
Apartamento;Andaraí;2;0;0;66;700.0;900.0;46.0
Apartamento;Pechincha;2;1;0;60;900.0;420.0;15.0
Apartamento;Santa Teresa;2;0;0;65;1400.0;600.0;
Apartamento;Cachambi;2;0;0;50;900.0;313.0;
Flat;Barra da Tijuca;1;1;0;71;2700.0;1700.0;181.0
Apartamento;Tijuca;2;1;0;88;1100.0;693.0;32.0
Apartamento;Lins de Vasconcelos;2;0;0;50;900.0;360.0;13.0
Apartamento;Recreio dos Bandeirantes;3;1;1;80;1700.0;900.0;195.0
Apartamento;Campo Grande;2;1;0;70;750.0;330.0;
Apartamento;Tijuca;2;0;1;80;1300.0;;82.0
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;850.0;590.0;37.0
Apartamento;Gávea;2;1;0;63;3300.0;650.0;
Apartamento;Barra da Tijuca;2;1;0;74;2100.0;750.0;
Apartamento;Barra da Tijuca;2;1;1;70;2300.0;1000.0;80.0
Apartamento;Recreio dos Bandeirantes;2;1;1;65;1800.0;560.0;
Casa;Campo Grande;2;0;0;70;1000.0;;
Apartamento;Barra da Tijuca;2;2;1;65;1600.0;1270.0;233.0
Apartamento;Engenho Novo;2;1;0;69;1250.0;600.0;
Apartamento;Camorim;2;1;0;48;1000.0;340.0;90.0
Apartamento;Barra da Tijuca;2;1;1;87;2300.0;1482.0;251.0
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1500.0;800.0;130.0
Apartamento;Barra da Tijuca;3;1;1;75;1900.0;750.0;60.0
Apartamento;Barra da Tijuca;2;1;1;80;3500.0;1100.0;140.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;46;1450.0;885.0;253.0
Apartamento;Cascadura;3;0;0;58;990.0;100.0;
Casa Comercial;Jardim Botânico;0;0;0;80;6000.0;;1000.0
Apartamento;Humaitá;2;1;0;72;2900.0;815.0;96.0
Apartamento;Jacarepaguá;2;1;2;68;1700.0;739.0;
Apartamento;Pechincha;2;1;1;61;1000.0;489.0;
Loja/Salão;Curicica;0;1;0;55;1800.0;925.0;525.0
Apartamento;Tijuca;2;1;0;72;1500.0;734.0;
Apartamento;Praia da Bandeira;2;1;0;90;1400.0;480.0;85.0
Flat;Ipanema;2;1;2;90;8000.0;2200.0;
Casa;Ramos;2;0;0;40;950.0;;
Apartamento;Tijuca;3;0;0;86;1500.0;690.0;83.0
Apartamento;Grajaú;2;0;0;53;1200.0;270.0;17.0
Loft;Barra da Tijuca;1;1;0;50;2634.0;1326.0;240.0
Conjunto Comercial/Sala;Centro;0;0;0;66;3000.0;667.0;120.0
Apartamento;Grajaú;2;0;0;72;2000.0;;758.0
Loja/Salão;Vargem Grande;0;4;0;98;2800.0;700.0;180.0
Loja/Salão;Leblon;0;0;0;50;15000.0;;500.0
Apartamento;Ipanema;1;0;1;46;1800.0;936.0;86.0
Apartamento;Saúde;2;0;0;65;1300.0;468.0;30.0
Apartamento;Ipanema;1;0;1;48;2100.0;540.0;81.0
Loja/Salão;Quintino Bocaiúva;0;0;0;100;1800.0;;150.0
Apartamento;Flamengo;2;1;1;90;3000.0;1200.0;120.0
Apartamento;Itanhangá;2;0;0;56;1200.0;781.0;26.0
Apartamento;Copacabana;2;0;1;45;1600.0;620.0;
Apartamento;Copacabana;2;0;0;56;3000.0;;
Loja Shopping/ Ct Comercial;Barra da Tijuca;0;1;0;50;2900.0;1830.0;993.0
Apartamento;Barra da Tijuca;3;2;3;89;4500.0;1200.0;211.0
Apartamento;Barra da Tijuca;2;1;1;69;2500.0;940.0;800.0
Apartamento;Recreio dos Bandeirantes;1;1;1;45;1500.0;1200.0;440.0
Apartamento;Botafogo;1;1;0;65;2200.0;679.0;27.0
Apartamento;Barra da Tijuca;2;1;2;100;10000.0;5155.0;502.0
Apartamento;Méier;3;0;0;60;1300.0;450.0;
Apartamento;Barra da Tijuca;2;2;1;75;1400.0;800.0;100.0
Apartamento;Tijuca;2;1;1;70;1600.0;740.0;
Apartamento;Leblon;2;2;1;65;5000.0;1950.0;300.0
Apartamento;Leblon;2;0;1;71;6700.0;2070.0;
Apartamento;Anil;2;1;0;46;1100.0;430.0;12.0
